city,datetime,temperature,precipitation,wind_speed,wind_direction
Madrid Barajas,2026-01-01T00:00,1.5,0.0,3.0,346
Madrid Barajas,2026-01-01T01:00,0.4,0.0,3.1,339
Madrid Barajas,2026-01-01T02:00,0.1,0.0,2.9,360
Madrid Barajas,2026-01-01T03:00,0.2,0.0,2.9,360
Madrid Barajas,2026-01-01T04:00,0.1,0.0,2.9,360
Madrid Barajas,2026-01-01T05:00,-0.1,0.0,2.5,360
Madrid Barajas,2026-01-01T06:00,-0.3,0.0,2.5,360
Madrid Barajas,2026-01-01T07:00,-0.6,0.0,3.2,360
Madrid Barajas,2026-01-01T08:00,-0.6,0.0,2.9,360
Madrid Barajas,2026-01-01T09:00,-0.7,0.0,2.5,360
Madrid Barajas,2026-01-01T10:00,-0.2,0.0,2.2,360
Madrid Barajas,2026-01-01T11:00,1.4,0.0,2.3,18
Madrid Barajas,2026-01-01T12:00,3.1,0.0,1.5,45
Madrid Barajas,2026-01-01T13:00,4.7,0.0,1.4,90
Madrid Barajas,2026-01-01T14:00,5.8,0.0,1.0,135
Madrid Barajas,2026-01-01T15:00,6.1,0.0,2.6,146
Madrid Barajas,2026-01-01T16:00,6.3,0.0,3.6,135
Madrid Barajas,2026-01-01T17:00,6.1,0.0,3.1,126
Madrid Barajas,2026-01-01T18:00,5.8,0.0,2.2,90
Madrid Barajas,2026-01-01T19:00,4.9,0.0,1.0,45
Madrid Barajas,2026-01-01T20:00,4.4,0.0,2.2,360
Madrid Barajas,2026-01-01T21:00,3.8,0.0,2.5,360
Madrid Barajas,2026-01-01T22:00,3.5,0.0,2.3,342
Madrid Barajas,2026-01-01T23:00,3.5,0.0,2.5,352
Madrid Barajas,2026-01-02T00:00,3.7,0.0,2.6,16
Madrid Barajas,2026-01-02T01:00,4.7,0.0,2.9,30
Madrid Barajas,2026-01-02T02:00,4.6,0.0,2.7,23
Madrid Barajas,2026-01-02T03:00,4.6,0.0,2.2,9
Madrid Barajas,2026-01-02T04:00,4.7,0.0,3.3,13
Madrid Barajas,2026-01-02T05:00,4.8,0.1,3.2,27
Madrid Barajas,2026-01-02T06:00,4.7,0.1,2.4,27
Madrid Barajas,2026-01-02T07:00,4.3,0.0,3.2,27
Madrid Barajas,2026-01-02T08:00,4.1,0.0,2.7,23
Madrid Barajas,2026-01-02T09:00,3.9,0.0,3.5,24
Madrid Barajas,2026-01-02T10:00,4.4,0.0,2.6,16
Madrid Barajas,2026-01-02T11:00,5.3,0.0,3.1,21
Madrid Barajas,2026-01-02T12:00,6.6,0.0,3.2,27
Madrid Barajas,2026-01-02T13:00,7.5,0.0,4.6,39
Madrid Barajas,2026-01-02T14:00,8.7,0.0,6.2,54
Madrid Barajas,2026-01-02T15:00,9.4,0.0,3.4,58
Madrid Barajas,2026-01-02T16:00,9.8,0.1,0.8,27
Madrid Barajas,2026-01-02T17:00,9.6,0.1,4.4,81
Madrid Barajas,2026-01-02T18:00,9.0,0.1,2.4,63
Madrid Barajas,2026-01-02T19:00,8.3,0.1,3.6,360
Madrid Barajas,2026-01-02T20:00,7.7,0.1,3.6,354
Madrid Barajas,2026-01-02T21:00,7.5,0.1,3.6,360
Madrid Barajas,2026-01-02T22:00,7.5,0.0,2.9,30
Madrid Barajas,2026-01-02T23:00,7.2,0.0,3.3,49
Madrid Barajas,2026-01-03T00:00,7.0,0.0,3.5,24
Madrid Barajas,2026-01-03T01:00,6.9,0.0,4.4,9
Madrid Barajas,2026-01-03T02:00,6.9,0.0,4.9,17
Madrid Barajas,2026-01-03T03:00,7.0,0.0,5.2,25
Madrid Barajas,2026-01-03T04:00,7.1,0.0,5.6,27
Madrid Barajas,2026-01-03T05:00,7.4,0.0,6.0,33
Madrid Barajas,2026-01-03T06:00,7.5,0.0,5.4,37
Madrid Barajas,2026-01-03T07:00,7.3,0.0,5.2,25
Madrid Barajas,2026-01-03T08:00,7.5,0.0,4.2,20
Madrid Barajas,2026-01-03T09:00,7.8,0.0,2.5,360
Madrid Barajas,2026-01-03T10:00,8.0,0.0,2.9,30
Madrid Barajas,2026-01-03T11:00,8.4,0.1,3.1,54
Madrid Barajas,2026-01-03T12:00,9.1,0.1,1.3,124
Madrid Barajas,2026-01-03T13:00,10.1,0.2,3.2,63
Madrid Barajas,2026-01-03T14:00,10.5,0.2,4.3,48
Madrid Barajas,2026-01-03T15:00,11.1,0.0,7.1,49
Madrid Barajas,2026-01-03T16:00,11.6,0.0,7.3,79
Madrid Barajas,2026-01-03T17:00,11.3,0.0,5.3,62
Madrid Barajas,2026-01-03T18:00,10.6,0.0,4.0,27
Madrid Barajas,2026-01-03T19:00,10.3,0.0,4.0,10
Madrid Barajas,2026-01-03T20:00,9.5,0.0,4.1,15
Madrid Barajas,2026-01-03T21:00,8.9,0.0,3.9,22
Madrid Barajas,2026-01-03T22:00,8.4,0.0,3.4,18
Madrid Barajas,2026-01-03T23:00,8.0,0.0,3.1,21
Madrid Barajas,2026-01-04T00:00,7.8,0.0,2.6,16
Madrid Barajas,2026-01-04T01:00,7.8,0.0,3.3,354
Madrid Barajas,2026-01-04T02:00,7.4,0.0,2.7,337
Madrid Barajas,2026-01-04T03:00,7.3,0.0,2.5,315
Madrid Barajas,2026-01-04T04:00,7.2,0.0,2.6,304
Madrid Barajas,2026-01-04T05:00,6.8,0.0,2.9,330
Madrid Barajas,2026-01-04T06:00,6.6,0.0,2.4,333
Madrid Barajas,2026-01-04T07:00,6.8,0.0,2.2,9
Madrid Barajas,2026-01-04T08:00,6.8,0.0,2.4,27
Madrid Barajas,2026-01-04T09:00,6.8,0.0,3.1,45
Madrid Barajas,2026-01-04T10:00,7.2,0.0,3.6,37
Madrid Barajas,2026-01-04T11:00,8.1,0.0,4.8,42
Madrid Barajas,2026-01-04T12:00,9.1,0.0,6.9,43
Madrid Barajas,2026-01-04T13:00,10.0,0.0,4.8,63
Madrid Barajas,2026-01-04T14:00,10.6,0.0,5.0,69
Madrid Barajas,2026-01-04T15:00,11.2,0.0,4.7,86
Madrid Barajas,2026-01-04T16:00,11.2,0.0,5.5,79
Madrid Barajas,2026-01-04T17:00,10.6,0.1,6.5,71
Madrid Barajas,2026-01-04T18:00,9.6,0.1,6.6,68
Madrid Barajas,2026-01-04T19:00,9.4,0.1,4.0,90
Madrid Barajas,2026-01-04T20:00,8.2,0.5,6.0,65
Madrid Barajas,2026-01-04T21:00,6.8,1.2,7.1,49
Madrid Barajas,2026-01-04T22:00,5.5,1.7,8.4,43
Madrid Barajas,2026-01-04T23:00,4.6,1.7,10.6,55
Madrid Barajas,2026-01-05T00:00,3.8,0.9,12.0,57
Madrid Barajas,2026-01-05T01:00,3.5,0.9,12.6,53
Madrid Barajas,2026-01-05T02:00,3.1,0.2,12.5,46
Madrid Barajas,2026-01-05T03:00,3.0,0.1,14.3,43
Madrid Barajas,2026-01-05T04:00,1.7,0.0,16.1,50
Madrid Barajas,2026-01-05T05:00,0.6,0.2,14.3,47
Madrid Barajas,2026-01-05T06:00,-0.2,0.6,14.3,51
Madrid Barajas,2026-01-05T07:00,-0.8,1.5,13.2,55
Madrid Barajas,2026-01-05T08:00,-1.0,1.5,13.0,62
Madrid Barajas,2026-01-05T09:00,-0.4,0.2,9.5,65
Madrid Barajas,2026-01-05T10:00,1.0,0.0,6.9,39
Madrid Barajas,2026-01-05T11:00,1.9,0.0,8.8,35
Madrid Barajas,2026-01-05T12:00,3.1,0.0,7.6,31
Madrid Barajas,2026-01-05T13:00,4.5,0.0,7.7,28
Madrid Barajas,2026-01-05T14:00,5.5,0.0,8.7,17
Madrid Barajas,2026-01-05T15:00,6.2,0.0,11.2,15
Madrid Barajas,2026-01-05T16:00,6.1,0.0,12.5,12
Madrid Barajas,2026-01-05T17:00,5.1,0.0,14.6,10
Madrid Barajas,2026-01-05T18:00,3.9,0.0,14.4,13
Madrid Barajas,2026-01-05T19:00,2.5,0.0,14.8,18
Madrid Barajas,2026-01-05T20:00,1.8,0.0,13.2,17
Madrid Barajas,2026-01-05T21:00,1.3,0.0,12.2,14
Madrid Barajas,2026-01-05T22:00,0.7,0.0,10.8,15
Madrid Barajas,2026-01-05T23:00,0.4,0.0,8.9,14
Madrid Barajas,2026-01-06T00:00,0.3,0.0,7.2,6
Madrid Barajas,2026-01-06T01:00,-0.2,0.0,5.0,360
Madrid Barajas,2026-01-06T02:00,-0.4,0.0,3.1,339
Madrid Barajas,2026-01-06T03:00,-0.6,0.0,3.1,306
Madrid Barajas,2026-01-06T04:00,-1.3,0.0,3.0,284
Madrid Barajas,2026-01-06T05:00,-1.8,0.0,4.0,270
Madrid Barajas,2026-01-06T06:00,-2.5,0.0,4.0,270
Madrid Barajas,2026-01-06T07:00,-2.5,0.0,3.1,291
Madrid Barajas,2026-01-06T08:00,-1.3,0.0,6.7,344
Madrid Barajas,2026-01-06T09:00,-0.4,0.0,11.0,341
Madrid Barajas,2026-01-06T10:00,1.2,0.0,13.9,350
Madrid Barajas,2026-01-06T11:00,2.8,0.0,18.4,358
Madrid Barajas,2026-01-06T12:00,3.7,0.0,22.4,5
Madrid Barajas,2026-01-06T13:00,4.7,0.0,20.3,7
Madrid Barajas,2026-01-06T14:00,5.2,0.0,21.0,7
Madrid Barajas,2026-01-06T15:00,5.3,0.0,21.3,5
Madrid Barajas,2026-01-06T16:00,5.3,0.0,19.5,2
Madrid Barajas,2026-01-06T17:00,4.6,0.0,18.4,360
Madrid Barajas,2026-01-06T18:00,3.5,0.0,15.2,356
Madrid Barajas,2026-01-06T19:00,2.4,0.0,11.9,360
Madrid Barajas,2026-01-06T20:00,1.6,0.0,7.3,11
Madrid Barajas,2026-01-06T21:00,1.0,0.0,4.4,9
Madrid Barajas,2026-01-06T22:00,0.5,0.0,2.5,360
Madrid Barajas,2026-01-06T23:00,0.4,0.0,2.5,262
Madrid Barajas,2026-01-07T00:00,0.1,0.0,2.3,231
Madrid Barajas,2026-01-07T01:00,-0.5,0.0,2.7,247
Madrid Barajas,2026-01-07T02:00,-0.9,0.0,2.6,236
Madrid Barajas,2026-01-07T03:00,-1.2,0.0,2.6,214
Madrid Barajas,2026-01-07T04:00,-1.9,0.0,2.9,173
Madrid Barajas,2026-01-07T05:00,-2.3,0.0,3.3,167
Madrid Barajas,2026-01-07T06:00,-2.8,0.0,2.9,187
Madrid Barajas,2026-01-07T07:00,-3.1,0.0,2.6,164
Madrid Barajas,2026-01-07T08:00,-3.1,0.0,2.2,171
Madrid Barajas,2026-01-07T09:00,-3.0,0.0,2.6,146
Madrid Barajas,2026-01-07T10:00,-1.9,0.0,1.6,117
Madrid Barajas,2026-01-07T11:00,-0.3,0.0,1.5,104
Madrid Barajas,2026-01-07T12:00,1.7,0.0,2.4,153
Madrid Barajas,2026-01-07T13:00,4.5,0.0,4.7,189
Madrid Barajas,2026-01-07T14:00,6.2,0.0,4.7,212
Madrid Barajas,2026-01-07T15:00,7.6,0.0,3.9,236
Madrid Barajas,2026-01-07T16:00,8.5,0.0,4.1,225
Madrid Barajas,2026-01-07T17:00,8.4,0.0,4.2,239
Madrid Barajas,2026-01-07T18:00,7.4,0.0,2.1,211
Madrid Barajas,2026-01-07T19:00,6.2,0.0,2.5,180
Madrid Barajas,2026-01-07T20:00,5.2,0.0,2.9,210
Madrid Barajas,2026-01-07T21:00,3.9,0.0,2.3,231
Madrid Barajas,2026-01-07T22:00,3.5,0.0,2.8,220
Madrid Barajas,2026-01-07T23:00,2.4,0.0,3.7,191
Madrid Barajas,2026-01-08T00:00,1.0,0.0,4.0,180
Madrid Barajas,2026-01-08T01:00,0.3,0.0,4.0,170
Madrid Barajas,2026-01-08T02:00,0.1,0.0,4.0,170
Madrid Barajas,2026-01-08T03:00,0.1,0.0,4.2,160
Madrid Barajas,2026-01-08T04:00,0.5,0.0,3.3,167
Madrid Barajas,2026-01-08T05:00,1.0,0.0,3.6,174
Madrid Barajas,2026-01-08T06:00,1.2,0.0,2.9,180
Madrid Barajas,2026-01-08T07:00,1.6,0.0,3.0,194
Madrid Barajas,2026-01-08T08:00,1.7,0.0,2.3,198
Madrid Barajas,2026-01-08T09:00,1.8,0.0,2.8,220
Madrid Barajas,2026-01-08T10:00,2.4,0.0,4.2,200
Madrid Barajas,2026-01-08T11:00,2.7,0.0,5.2,205
Madrid Barajas,2026-01-08T12:00,3.1,0.0,6.0,205
Madrid Barajas,2026-01-08T13:00,3.1,0.0,5.4,217
Madrid Barajas,2026-01-08T14:00,4.0,0.0,5.4,228
Madrid Barajas,2026-01-08T15:00,4.7,0.0,6.4,218
Madrid Barajas,2026-01-08T16:00,4.5,0.0,6.1,208
Madrid Barajas,2026-01-08T17:00,4.6,0.0,7.3,213
Madrid Barajas,2026-01-08T18:00,4.5,0.0,7.9,219
Madrid Barajas,2026-01-08T19:00,4.3,0.0,9.2,219
Madrid Barajas,2026-01-08T20:00,4.4,0.0,8.9,220
Madrid Barajas,2026-01-08T21:00,4.3,0.0,9.4,212
Madrid Barajas,2026-01-08T22:00,4.5,0.0,10.8,217
Madrid Barajas,2026-01-08T23:00,4.4,0.0,11.1,216
Madrid Barajas,2026-01-09T00:00,4.7,0.0,12.2,225
Madrid Barajas,2026-01-09T01:00,5.0,0.0,9.4,220
Madrid Barajas,2026-01-09T02:00,5.0,0.0,11.5,221
Madrid Barajas,2026-01-09T03:00,5.3,0.0,11.7,227
Madrid Barajas,2026-01-09T04:00,6.1,0.0,13.1,233
Madrid Barajas,2026-01-09T05:00,6.5,0.0,13.6,230
Madrid Barajas,2026-01-09T06:00,7.0,0.0,13.2,235
Madrid Barajas,2026-01-09T07:00,7.3,0.0,12.1,240
Madrid Barajas,2026-01-09T08:00,7.5,0.0,12.4,234
Madrid Barajas,2026-01-09T09:00,7.5,0.0,13.8,229
Madrid Barajas,2026-01-09T10:00,7.8,0.0,13.3,232
Madrid Barajas,2026-01-09T11:00,9.4,0.0,16.8,247
Madrid Barajas,2026-01-09T12:00,10.8,0.0,20.9,273
Madrid Barajas,2026-01-09T13:00,11.7,0.0,19.5,274
Madrid Barajas,2026-01-09T14:00,11.9,0.0,20.7,277
Madrid Barajas,2026-01-09T15:00,12.0,0.0,20.1,279
Madrid Barajas,2026-01-09T16:00,11.9,0.0,18.8,274
Madrid Barajas,2026-01-09T17:00,11.2,0.0,18.9,279
Madrid Barajas,2026-01-09T18:00,10.2,0.0,16.9,268
Madrid Barajas,2026-01-09T19:00,9.1,0.0,14.8,256
Madrid Barajas,2026-01-09T20:00,8.4,0.0,14.5,256
Madrid Barajas,2026-01-09T21:00,7.7,0.0,13.9,253
Madrid Barajas,2026-01-09T22:00,7.4,0.0,13.0,256
Madrid Barajas,2026-01-09T23:00,7.1,0.0,10.5,264
Madrid Barajas,2026-01-10T00:00,6.9,0.0,7.9,273
Madrid Barajas,2026-01-10T01:00,6.7,0.0,6.1,273
Madrid Barajas,2026-01-10T02:00,6.1,0.0,5.1,278
Madrid Barajas,2026-01-10T03:00,5.6,0.0,4.7,274
Madrid Barajas,2026-01-10T04:00,4.8,0.0,4.7,270
Madrid Barajas,2026-01-10T05:00,4.1,0.0,3.6,270
Madrid Barajas,2026-01-10T06:00,3.6,0.0,2.5,270
Madrid Barajas,2026-01-10T07:00,3.5,0.0,1.8,281
Madrid Barajas,2026-01-10T08:00,3.3,0.0,1.5,225
Madrid Barajas,2026-01-10T09:00,2.9,0.0,1.9,202
Madrid Barajas,2026-01-10T10:00,3.6,0.0,0.4,180
Madrid Barajas,2026-01-10T11:00,5.1,0.0,0.8,117
Madrid Barajas,2026-01-10T12:00,6.7,0.0,0.8,153
Madrid Barajas,2026-01-10T13:00,8.4,0.0,1.6,153
Madrid Barajas,2026-01-10T14:00,9.0,0.0,1.8,191
Madrid Barajas,2026-01-10T15:00,9.5,0.0,1.8,217
Madrid Barajas,2026-01-10T16:00,10.1,0.0,2.0,225
Madrid Barajas,2026-01-10T17:00,9.9,0.0,1.6,207
Madrid Barajas,2026-01-10T18:00,9.2,0.0,1.8,79
Madrid Barajas,2026-01-10T19:00,7.4,0.0,2.9,90
Madrid Barajas,2026-01-10T20:00,6.1,0.0,2.9,60
Madrid Barajas,2026-01-10T21:00,4.7,0.0,2.6,34
Madrid Barajas,2026-01-10T22:00,3.0,0.0,2.5,360
Madrid Barajas,2026-01-10T23:00,2.0,0.0,2.7,337
Madrid Barajas,2026-01-11T00:00,1.3,0.0,2.4,333
Madrid Barajas,2026-01-11T01:00,0.7,0.0,2.2,360
Madrid Barajas,2026-01-11T02:00,0.2,0.0,2.2,360
Madrid Barajas,2026-01-11T03:00,-0.3,0.0,1.8,360
Madrid Barajas,2026-01-11T04:00,-1.2,0.0,1.6,27
Madrid Barajas,2026-01-11T05:00,-1.5,0.0,1.3,34
Madrid Barajas,2026-01-11T06:00,-1.7,0.0,1.1,18
Madrid Barajas,2026-01-11T07:00,-2.0,0.0,1.0,45
Madrid Barajas,2026-01-11T08:00,-2.1,0.0,1.5,14
Madrid Barajas,2026-01-11T09:00,-2.3,0.0,1.4,360
Madrid Barajas,2026-01-11T10:00,-1.2,0.0,1.1,342
Madrid Barajas,2026-01-11T11:00,1.7,0.0,0.7,90
Madrid Barajas,2026-01-11T12:00,3.7,0.0,2.3,141
Madrid Barajas,2026-01-11T13:00,6.6,0.0,3.1,159
Madrid Barajas,2026-01-11T14:00,8.3,0.0,3.4,198
Madrid Barajas,2026-01-11T15:00,9.5,0.0,4.0,180
Madrid Barajas,2026-01-11T16:00,10.6,0.0,5.1,184
Madrid Barajas,2026-01-11T17:00,10.6,0.0,5.1,184
Madrid Barajas,2026-01-11T18:00,9.7,0.0,2.9,150
Madrid Barajas,2026-01-11T19:00,8.0,0.0,3.4,148
Madrid Barajas,2026-01-11T20:00,7.3,0.0,3.0,166
Madrid Barajas,2026-01-11T21:00,6.3,0.0,3.3,174
Madrid Barajas,2026-01-11T22:00,5.4,0.0,3.3,167
Madrid Barajas,2026-01-11T23:00,4.6,0.0,2.9,173
Madrid Barajas,2026-01-12T00:00,4.0,0.0,2.2,171
Madrid Barajas,2026-01-12T01:00,3.9,0.0,1.1,72
Madrid Barajas,2026-01-12T02:00,3.4,0.0,1.3,34
Madrid Barajas,2026-01-12T03:00,2.6,0.0,1.1,18
Madrid Barajas,2026-01-12T04:00,2.1,0.0,2.2,360
Madrid Barajas,2026-01-12T05:00,1.3,0.0,2.9,7
Madrid Barajas,2026-01-12T06:00,1.4,0.0,2.6,344
Madrid Barajas,2026-01-12T07:00,2.6,0.0,1.8,349
Madrid Barajas,2026-01-12T08:00,3.0,0.0,2.2,360
Madrid Barajas,2026-01-12T09:00,3.4,0.0,2.4,27
Madrid Barajas,2026-01-12T10:00,4.7,0.0,2.5,360
Madrid Barajas,2026-01-12T11:00,6.0,0.0,2.5,360
Madrid Barajas,2026-01-12T12:00,7.6,0.0,2.2,351
Madrid Barajas,2026-01-12T13:00,7.9,0.0,1.8,349
Madrid Barajas,2026-01-12T14:00,9.1,0.0,1.1,72
Madrid Barajas,2026-01-12T15:00,9.7,0.0,2.3,108
Madrid Barajas,2026-01-12T16:00,9.6,0.0,2.6,74
Madrid Barajas,2026-01-12T17:00,9.8,0.0,3.4,72
Madrid Barajas,2026-01-12T18:00,9.3,0.0,3.4,32
